***BUSMASTER Ver 2.6.2***
***PROTOCOL CAN***
***NOTE: PLEASE DO NOT EDIT THIS DOCUMENT***
***[START LOGGING SESSION]***
***START DATE AND TIME 31:10:2019 11:48:35:580***
***HEX***
***SYSTEM MODE***
***START CHANNEL BAUD RATE***
***CHANNEL 1 - PCAN-USB Device ID - FFh - 500000 bps***
***END CHANNEL BAUD RATE***
***START DATABASE FILES (DBF/DBC)***
***END OF DATABASE FILES (DBF/DBC)***
***<Time><Tx/Rx><Channel><CAN ID><Type><DLC><DataBytes>***
11:48:49:5618 Rx 1 0x1CEBFF3D x 8 04 01 A9 0C 00 01 FF FF 
11:48:49:5728 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:5731 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:5826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:6226 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:6228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:6327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:6727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:6729 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:6826 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:7225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:7228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:7327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:7727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:7730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:7733 Rx 1 0x18FEDF3D x 8 FF 00 00 00 FF 00 00 F0 
11:48:49:7825 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:8225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:8228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:8328 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:8727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:8730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:8825 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:9225 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:9228 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:9327 Rx 1 0xCFE6C3D x 8 FF FF FF FF 00 00 00 00 
11:48:49:9625 Rx 1 0x18FE563D x 8 00 FE FF FF FF FF FF FF 
11:48:49:9727 Rx 1 0xCF0233D x 8 00 00 FE FF FF FF FF FF 
11:48:49:9730 Rx 1 0xCF0243D x 8 00 00 F0 FF FF FF FF FF 
11:48:49:9733 Rx 1 0x14FD3E3D x 8 FF FE FF 20 22 FF FF FF 
